year,st_fips,opioid_type,remove_obs,name,abbrev
1999,01,opioid,0,Alabama,AL
1999,02,opioid,0,Alaska,AK
1999,04,opioid,0,Arizona,AZ
1999,05,opioid,0,Arkansas,AR
1999,06,opioid,0,California,CA
1999,08,opioid,0,Colorado,CO
1999,09,opioid,0,Connecticut,CT
1999,10,opioid,0,Delaware,DE
1999,11,opioid,0,District of Columbia,DC
1999,12,opioid,0,Florida,FL
1999,13,opioid,0,Georgia,GA
1999,15,opioid,0,Hawaii,HI
1999,16,opioid,0,Idaho,ID
1999,17,opioid,0,Illinois,IL
1999,18,opioid,0,Indiana,IN
1999,19,opioid,0,Iowa,IA
1999,20,opioid,0,Kansas,KS
1999,21,opioid,0,Kentucky,KY
1999,22,opioid,0,Louisiana,LA
1999,23,opioid,0,Maine,ME
1999,24,opioid,0,Maryland,MD
1999,25,opioid,0,Massachusetts,MA
1999,26,opioid,0,Michigan,MI
1999,27,opioid,0,Minnesota,MN
1999,28,opioid,0,Mississippi,MS
1999,29,opioid,0,Missouri,MO
1999,30,opioid,0,Montana,MT
1999,31,opioid,1,Nebraska,NE
1999,32,opioid,0,Nevada,NV
1999,33,opioid,0,New Hampshire,NH
1999,34,opioid,0,New Jersey,NJ
1999,35,opioid,0,New Mexico,NM
1999,36,opioid,0,New York,NY
1999,37,opioid,0,North Carolina,NC
1999,38,opioid,1,North Dakota,ND
1999,39,opioid,0,Ohio,OH
1999,40,opioid,0,Oklahoma,OK
1999,41,opioid,0,Oregon,OR
1999,42,opioid,0,Pennsylvania,PA
1999,44,opioid,0,Rhode Island,RI
1999,45,opioid,0,South Carolina,SC
1999,46,opioid,1,South Dakota,SD
1999,47,opioid,0,Tennessee,TN
1999,48,opioid,0,Texas,TX
1999,49,opioid,0,Utah,UT
1999,50,opioid,0,Vermont,VT
1999,51,opioid,0,Virginia,VA
1999,53,opioid,0,Washington,WA
1999,54,opioid,0,West Virginia,WV
1999,55,opioid,0,Wisconsin,WI
1999,56,opioid,1,Wyoming,WY
2000,01,opioid,0,Alabama,AL
2000,02,opioid,0,Alaska,AK
2000,04,opioid,0,Arizona,AZ
2000,05,opioid,0,Arkansas,AR
2000,06,opioid,0,California,CA
2000,08,opioid,0,Colorado,CO
2000,09,opioid,0,Connecticut,CT
2000,10,opioid,0,Delaware,DE
2000,11,opioid,0,District of Columbia,DC
2000,12,opioid,0,Florida,FL
2000,13,opioid,0,Georgia,GA
2000,15,opioid,0,Hawaii,HI
2000,16,opioid,0,Idaho,ID
2000,17,opioid,0,Illinois,IL
2000,18,opioid,0,Indiana,IN
2000,19,opioid,0,Iowa,IA
2000,20,opioid,0,Kansas,KS
2000,21,opioid,0,Kentucky,KY
2000,22,opioid,0,Louisiana,LA
2000,23,opioid,0,Maine,ME
2000,24,opioid,0,Maryland,MD
2000,25,opioid,0,Massachusetts,MA
2000,26,opioid,0,Michigan,MI
2000,27,opioid,0,Minnesota,MN
2000,28,opioid,0,Mississippi,MS
2000,29,opioid,0,Missouri,MO
2000,30,opioid,0,Montana,MT
2000,31,opioid,0,Nebraska,NE
2000,32,opioid,0,Nevada,NV
2000,33,opioid,0,New Hampshire,NH
2000,34,opioid,0,New Jersey,NJ
2000,35,opioid,0,New Mexico,NM
2000,36,opioid,0,New York,NY
2000,37,opioid,0,North Carolina,NC
2000,38,opioid,1,North Dakota,ND
2000,39,opioid,0,Ohio,OH
2000,40,opioid,0,Oklahoma,OK
2000,41,opioid,0,Oregon,OR
2000,42,opioid,0,Pennsylvania,PA
2000,44,opioid,0,Rhode Island,RI
2000,45,opioid,0,South Carolina,SC
2000,46,opioid,1,South Dakota,SD
2000,47,opioid,0,Tennessee,TN
2000,48,opioid,0,Texas,TX
2000,49,opioid,0,Utah,UT
2000,50,opioid,0,Vermont,VT
2000,51,opioid,0,Virginia,VA
2000,53,opioid,0,Washington,WA
2000,54,opioid,0,West Virginia,WV
2000,55,opioid,0,Wisconsin,WI
2000,56,opioid,0,Wyoming,WY
2001,01,opioid,0,Alabama,AL
2001,02,opioid,0,Alaska,AK
